Profiling file: onnxruntime_profile__2026-06-02_07-28-15_187.json
FPS (preprocess + inference): 74.25695478355941
Name                 Type          Forward_MACs  FPercent        Memory  MPercent        Params  PPercent    InShape      OutShape
Ephemera                            Benar=1   Salah=0   Akurasi=100.00%
Eucampia                            Benar=0   Salah=1   Akurasi=  0.00%
Euglena                             Benar=0   Salah=1   Akurasi=  0.00%
G_delicatula_detritus               Benar=1   Salah=0   Akurasi=100.00%
G_delicatula_external_parasite      Benar=0   Salah=1   Akurasi=  0.00%
G_delicatula_parasite               Benar=0   Salah=1   Akurasi=  0.00%
Gonyaulax                           Benar=1   Salah=0   Akurasi=100.00%
Guinardia_delicatula                Benar=0   Salah=1   Akurasi=  0.00%
Guinardia_flaccida                  Benar=0   Salah=1   Akurasi=  0.00%
Guinardia_striata                   Benar=0   Salah=1   Akurasi=  0.00%
Gyrodinium                          Benar=0   Salah=1   Akurasi=  0.00%
Heterocapsa_triquetra               Benar=1   Salah=0   Akurasi=100.00%
Katodinium_or_Torodinium            Benar=1   Salah=0   Akurasi=100.00%
Laboea_strobila                     Benar=1   Salah=0   Akurasi=100.00%
Lauderia                            Benar=0   Salah=1   Akurasi=  0.00%
Leegaardiella_ovalis                Benar=0   Salah=1   Akurasi=  0.00%
Leptocylindrus                      Benar=0   Salah=1   Akurasi=  0.00%
Leptocylindrus_mediterraneus        Benar=1   Salah=0   Akurasi=100.00%
Licmophora                          Benar=1   Salah=0   Akurasi=100.00%
Mesodinium_sp                       Benar=0   Salah=1   Akurasi=  0.00%
Paralia                             Benar=1   Salah=0   Akurasi=100.00%
Phaeocystis                         Benar=1   Salah=0   Akurasi=100.00%
Pleurosigma                         Benar=1   Salah=0   Akurasi=100.00%
Prorocentrum                        Benar=1   Salah=0   Akurasi=100.00%
Proterythropsis_sp                  Benar=0   Salah=1   Akurasi=  0.00%
Pseudochattonella_farcimen          Benar=1   Salah=0   Akurasi=100.00%
Pseudonitzschia                     Benar=0   Salah=1   Akurasi=  0.00%
Pyramimonas_longicauda              Benar=1   Salah=0   Akurasi=100.00%
Rhizosolenia                        Benar=0   Salah=1   Akurasi=  0.00%
Skeletonema                         Benar=1   Salah=0   Akurasi=100.00%
Strobilidium_morphotype1            Benar=1   Salah=0   Akurasi=100.00%
Strombidium_inclinatum              Benar=1   Salah=0   Akurasi=100.00%
Strombidium_morphotype1             Benar=1   Salah=0   Akurasi=100.00%
Strombidium_morphotype2             Benar=0   Salah=1   Akurasi=  0.00%
Strombidium_oculatum                Benar=1   Salah=0   Akurasi=100.00%
Strombidium_wulffi                  Benar=0   Salah=1   Akurasi=  0.00%
Thalassionema                       Benar=1   Salah=0   Akurasi=100.00%
Thalassiosira                       Benar=1   Salah=0   Akurasi=100.00%
Thalassiosira_dirty                 Benar=0   Salah=1   Akurasi=  0.00%
Tintinnid                           Benar=0   Salah=1   Akurasi=  0.00%
Tontonia_gracillima                 Benar=1   Salah=0   Akurasi=100.00%
amoeba                              Benar=0   Salah=1   Akurasi=  0.00%
bad                                 Benar=1   Salah=0   Akurasi=100.00%
bead                                Benar=1   Salah=0   Akurasi=100.00%
clusterflagellate                   Benar=1   Salah=0   Akurasi=100.00%
detritus                            Benar=1   Salah=0   Akurasi=100.00%
diatom_flagellate                   Benar=1   Salah=0   Akurasi=100.00%
dino30                              Benar=0   Salah=1   Akurasi=  0.00%
dino_large1                         Benar=1   Salah=0   Akurasi=100.00%
flagellate_sp3                      Benar=1   Salah=0   Akurasi=100.00%
kiteflagellates                     Benar=1   Salah=0   Akurasi=100.00%
mix_elongated                       Benar=1   Salah=0   Akurasi=100.00%
other_interaction                   Benar=0   Salah=1   Akurasi=  0.00%
pennate                             Benar=0   Salah=1   Akurasi=  0.00%
pennate_morphotype1                 Benar=1   Salah=0   Akurasi=100.00%
pennates_on_diatoms                 Benar=0   Salah=1   Akurasi=  0.00%
spore                               Benar=1   Salah=0   Akurasi=100.00%

AKURASI KESELURUHAN
------------------------------------------------------------------------------------------
Benar=47 Salah=34 Akurasi=58.02% (47/81)

SALAH KLASIFIKASI
------------------------------------------------------------------------------------------
000_Guinardia_delicatula.png | GT=Guinardia_delicatula | PRED=G_delicatula_external_parasite
003_Guinardia_striata.png | GT=Guinardia_striata | PRED=Chaetoceros_pennate
007_amoeba.png | GT=amoeba | PRED=dino30
012_Chaetoceros_other.png | GT=Chaetoceros_other | PRED=Chaetoceros
013_Dactyliosolen.png | GT=Dactyliosolen | PRED=diatom_flagellate
016_Ditylum_parasite.png | GT=Ditylum_parasite | PRED=Ditylum
017_G_delicatula_external_parasite.png | GT=G_delicatula_external_parasite | PRED=Ditylum
018_Ceratium.png | GT=Ceratium | PRED=Guinardia_delicatula
019_G_delicatula_parasite.png | GT=G_delicatula_parasite | PRED=pennates_on_diatoms
020_Tintinnid.png | GT=Tintinnid | PRED=Laboea_strobila
021_Strombidium_morphotype2.png | GT=Strombidium_morphotype2 | PRED=Strombidium_morphotype1
022_Pseudonitzschia.png | GT=Pseudonitzschia | PRED=Leptocylindrus
023_Chaetoceros_flagellate.png | GT=Chaetoceros_flagellate | PRED=Chaetoceros_didymus
025_Proterythropsis_sp.png | GT=Proterythropsis_sp | PRED=Delphineis
030_Leptocylindrus.png | GT=Leptocylindrus | PRED=mix_elongated
031_Leegaardiella_ovalis.png | GT=Leegaardiella_ovalis | PRED=Dictyocha
035_pennate.png | GT=pennate | PRED=mix_elongated
041_Ditylum.png | GT=Ditylum | PRED=Ditylum_parasite
042_Gyrodinium.png | GT=Gyrodinium | PRED=Dinophysis
043_Eucampia.png | GT=Eucampia | PRED=other_interaction
050_Asterionellopsis.png | GT=Asterionellopsis | PRED=Euglena
056_Rhizosolenia.png | GT=Rhizosolenia | PRED=Chaetoceros_pennate
058_Euglena.png | GT=Euglena | PRED=Thalassiosira
060_pennates_on_diatoms.png | GT=pennates_on_diatoms | PRED=Chaetoceros_other
063_Thalassiosira_dirty.png | GT=Thalassiosira_dirty | PRED=Delphineis
064_Chaetoceros_pennate.png | GT=Chaetoceros_pennate | PRED=Leptocylindrus_mediterraneus
066_Dictyocha.png | GT=Dictyocha | PRED=clusterflagellate
067_Lauderia.png | GT=Lauderia | PRED=pennates_on_diatoms
068_DactFragCerataul.png | GT=DactFragCerataul | PRED=Guinardia_striata
073_Strombidium_wulffi.png | GT=Strombidium_wulffi | PRED=Strombidium_morphotype1
074_Mesodinium_sp.png | GT=Mesodinium_sp | PRED=Ciliate_mix
075_dino30.png | GT=dino30 | PRED=bead
079_other_interaction.png | GT=other_interaction | PRED=G_delicatula_external_parasite
080_Guinardia_flaccida.png | GT=Guinardia_flaccida | PRED=Lauderia
